type	count
Q131734	87
Q3624078	69
Q4830453	50
Q6256	26
Q6881511	23
Q7270	18
Q1998962	16
Q179164	16
Q123480	15
Q51576574	14
Q167270	11
Q15075508	11
Q112099	11
Q431289	10
Q63791824	9
Q44	8
Q1549591	8
Q40050	7
Q515	6
Q4209223	6
Q20181813	6
Q619610	5
Q43702	5
Q154	5
Q5	4
Q25403900	4
Q191067	4
Q859563	3
Q82794	3
Q783794	3
Q7275	3
Q618779	3
Q5119	3
Q42744322	3
Q41614	3
Q3957	3
Q3024240	3
Q202686	3
Q1799072	3
Q16521	3
Q1520223	3
Q1323642	3
Q95997873	2
Q902814	2
Q849866	2
Q842112	2
Q735160	2
Q717040	2
Q512187	2
Q506139	2
Q46205284	2
Q417175	2
Q24017414	2
Q22865	2
Q223832	2
Q134626	2
Q91325574	1
Q908620	1
Q900660	1
Q89487741	1
Q891723	1
Q878223	1
Q858157	1
Q85631896	1
Q847705	1
Q8386	1
Q836904	1
Q8348747	1
Q83405	1
Q8148	1
Q79719	1
Q79529	1
Q7889	1
Q747074	1
Q726870	1
Q70208	1
Q681277	1
Q66724388	1
Q61708099	1
Q587089	1
Q5852411	1
Q56061	1
Q54935504	1
Q5487333	1
Q5464477	1
Q532	1
Q5255892	1
Q524679	1
Q50690	1
Q50330360	1
Q49773	1
Q493522	1
Q484170	1
Q484083	1
Q475050	1
Q4686758	1
Q465299	1
Q453181	1
Q448801	1
Q4445055	1
Q4271324	1
Q42527	1
Q4204501	1
Q4198907	1
Q3658341	1
Q3502482	1
Q33506	1
Q328584	1
Q32489	1
Q2914565	1
Q2858704	1
Q284742	1
Q28171280	1
Q26934845	1
Q26879769	1
Q268592	1
Q264554	1
Q25810847	1
Q253481	1
Q253030	1
Q2424752	1
Q2349698	1
Q23442	1
Q2264924	1
Q2221906	1
Q2185963	1
Q217825	1
Q214609	1
Q213907	1
Q209824	1
Q2095	1
Q208500	1
Q207174	1
Q206361	1
Q200464	1
Q200250	1
Q19861951	1
Q1968435	1
Q196756	1
Q196294	1
Q19588327	1
Q1887898	1
Q187661	1
Q185145	1
Q184208	1
Q17524420	1
Q170156	1
Q165116	1
Q1637706	1
Q15773347	1
Q15711870	1
Q15634554	1
Q15344922	1
Q15304003	1
Q15303838	1
Q15273785	1
Q152024	1
Q1489259	1
Q14784328	1
Q14770218	1
Q147538	1
Q1440300	1
Q1400264	1
Q1363963	1
Q1349648	1
Q1335818	1
Q13220204	1
Q13218690	1
Q131413	1
Q1269299	1
Q1252971	1
Q1250464	1
Q12139612	1
Q12047392	1
Q1187811	1
Q1180262	1
Q11723014	1
Q11707	1
Q11514315	1
Q11424	1
Q11396118	1
Q11344	1
Q11173	1
Q1114461	1
Q1093829	1
Q1066984	1
